Time (ms),y target (mm),y tip (mm)
0,-0.2204329,-0.1483593
25,-0.2204329,-0.1483593
50,-0.2207053,-0.1483283
76,-0.2207053,-0.1483283
102,-0.2199524,-0.1483355
127,-0.2199524,-0.1483355
153,-0.2181074,-0.148332
178,-0.2159225,-0.148328
204,-0.2098966,-0.1483453
229,-0.2005518,-0.1484444
254,-0.2005518,-0.1484444
279,-0.1891166,-0.1483409
304,-0.1593539,-0.1483444
329,-0.1593539,-0.1483444
354,-0.1177861,-0.1483376
379,-0.08798829,-0.1483343
404,-0.05363531,-0.1483455
429,-0.0110575,-0.1483345
454,0.01979213,-0.148708
479,0.03860457,-0.1482435
504,0.06813185,-0.1460086
529,0.09014507,-0.1430139
554,0.09014507,-0.1430139
579,0.09273392,-0.1398636
604,0.08119973,-0.1361215
629,0.06481059,-0.1336875
654,0.03879261,-0.1258791
679,0.006008754,-0.1236054
704,-0.04664777,-0.1204853
729,-0.04664777,-0.1204853
754,-0.1021627,-0.1151159
779,-0.1509273,-0.1084275
804,-0.1851075,-0.1039914
829,-0.1851075,-0.1039914
854,-0.2370911,-0.09910129
879,-0.24039,-0.09855027
904,-0.2220456,-0.09961147
929,-0.1843012,-0.1016487
954,-0.1330462,-0.1036956
979,-0.1330462,-0.1036956
1004,-0.07773169,-0.1057374
1029,-0.03407567,-0.1067158
1054,0.01876637,-0.1081663
1079,0.01876637,-0.1081663
1104,0.05859455,-0.1100013
1129,0.07711577,-0.1105497
1154,0.08467633,-0.1097896
1179,0.07059591,-0.1057941
1204,0.0577044,-0.1035174
1229,0.0577044,-0.1035174
1254,0.02051966,-0.09827419
1279,-0.05050462,-0.09176967
1304,-0.05050462,-0.09176967
1329,-0.1153261,-0.08743332
1354,-0.1769897,-0.08384597
1379,-0.2106592,-0.08179594
1404,-0.2151944,-0.08052248
1429,-0.195327,-0.08127768
1454,-0.1512348,-0.08182184
1479,-0.09422403,-0.08380612
1504,-0.09422403,-0.08380612
1529,-0.04568472,-0.08566524
1554,0.01273623,-0.08937168
1579,0.06071294,-0.091643
1604,0.08197261,-0.09240648
1629,0.09574705,-0.09108913
1654,0.09418751,-0.08709464
1679,0.09418751,-0.08709464
1704,0.07537824,-0.08306149
1729,0.03359582,-0.07658902
1754,-0.02197432,-0.07086477
1779,-0.02197432,-0.07086477
1804,-0.08520748,-0.06616592
1829,-0.1301341,-0.06309149
1854,-0.1817042,-0.06129069
1879,-0.1952694,-0.06121863
1904,-0.1784527,-0.06293094
1929,-0.1412579,-0.06714779
1954,-0.1068451,-0.07045423
1979,-0.1068451,-0.07045423
2004,-0.05138043,-0.07671348
2029,0.01474163,-0.08126079
2054,0.05526851,-0.08208704
2079,0.05526851,-0.08208704
2104,0.07718746,-0.08139914
2129,0.08480047,-0.07938067
2154,0.06439522,-0.07650719
2179,0.06439522,-0.07650719
2204,0.03601648,-0.07426538
2229,-0.01392172,-0.06967055
2254,-0.08968839,-0.06214001
2279,-0.08968839,-0.06214001
2304,-0.1355574,-0.0575681
2331,-0.1913173,-0.05040832
2356,-0.1935959,-0.05194194
2381,-0.1637312,-0.05579632
2406,-0.1637312,-0.05579632
2431,-0.1325377,-0.06468605
2456,-0.06261373,-0.07333262
2481,-0.06261373,-0.07333262
2506,0.006548994,-0.0784188
2531,0.04519263,-0.07934964
2556,0.04519263,-0.07934964
2581,0.07996554,-0.08013738
2606,0.09155312,-0.07901619
2631,0.07831721,-0.07905007
2656,0.07831721,-0.07905007
2681,0.03525671,-0.08032045
2706,-0.01632219,-0.08139364
2731,-0.01632219,-0.08139364
2756,-0.0959699,-0.08027763
2781,-0.0959699,-0.08027763
2806,-0.1686004,-0.07494449
2831,-0.2146756,-0.07054095
2856,-0.2199156,-0.07048023
2881,-0.1984025,-0.07336885
2906,-0.1984025,-0.07336885
2931,-0.159366,-0.08001983
2956,-0.09547784,-0.08795936
2981,-0.05617145,-0.09181602
3006,-0.05617145,-0.09181602
3031,-0.01981253,-0.093826
3056,0.03927333,-0.09455857
3082,0.05673388,-0.09334463
3107,0.05673388,-0.09334463
3134,0.06309398,-0.09011225
3159,0.06309398,-0.09011225
3184,0.01392888,-0.08544245
3209,0.01392888,-0.08544245
3234,-0.01713693,-0.08407238
3259,-0.06649209,-0.08101411
3284,-0.1071556,-0.07816958
3309,-0.1445307,-0.0749365
3334,-0.1445307,-0.0749365
3359,-0.2055623,-0.07035834
3384,-0.2352902,-0.07076047
3409,-0.2401025,-0.0747572
3434,-0.2401025,-0.0747572
3459,-0.2171309,-0.08056943
3484,-0.1842865,-0.08590846
3509,-0.1395469,-0.09075311
3534,-0.1017803,-0.09306385
3559,-0.1017803,-0.09306385
3584,-0.05110655,-0.0953323
3609,-0.0005270848,-0.09825505
3634,0.03534523,-0.09997851
3659,0.03534523,-0.09997851
3684,0.06971761,-0.1017347
3709,0.07417178,-0.1002852
3734,0.0580925,-0.09691207
3759,0.0580925,-0.09691207
3784,0.02144753,-0.09528819
3809,-0.01418423,-0.0954731
3834,-0.05314014,-0.09550828
3859,-0.1071778,-0.09494037
3884,-0.1457689,-0.09345543
3909,-0.1457689,-0.09345543
3934,-0.1881731,-0.08930645
3959,-0.2094604,-0.08539082
3984,-0.2099183,-0.08072373
4009,-0.1847445,-0.07879853
4034,-0.1570034,-0.07915872
4059,-0.1229606,-0.08149913
4084,-0.08409584,-0.08573424
4109,-0.02983971,-0.09104665
4134,-0.02983971,-0.09104665
4159,0.02366005,-0.09537918
4184,0.06684463,-0.09616206
4210,0.08388763,-0.09369439
4235,0.08388763,-0.09369439
4260,0.08666258,-0.08663062
4285,0.07721499,-0.08067214
4310,0.05402981,-0.07493969
4335,0.009611171,-0.06927959
4361,-0.02767618,-0.06706928
4386,-0.02767618,-0.06706928
4411,-0.08865811,-0.06494726
4436,-0.1239569,-0.06398101
4461,-0.1857499,-0.06262782
4486,-0.202529,-0.06109918
4511,-0.2130927,-0.05520196
4536,-0.2007996,-0.05431338
4561,-0.1800149,-0.05521481
4586,-0.1454366,-0.06206917
4611,-0.1454366,-0.06206917
4636,-0.1121846,-0.06548264
4661,-0.05617448,-0.07285369
4686,-0.02456663,-0.07661589
4711,-0.02456663,-0.07661589
4736,0.01285754,-0.08041962
4762,0.04014092,-0.08246876
4786,0.05222595,-0.08122274
4811,0.05222595,-0.08122274
4836,0.02730021,-0.07521106
4861,0.02730021,-0.07521106
4886,0.0004227823,-0.07242771
4911,-0.04182622,-0.07131238
