Time (ms),y target (mm),y tip (mm)
0,-0.2346273,-0.08781852
49,-0.2358733,-0.08782664
99,-0.2364914,-0.08789602
149,-0.2375632,-0.08871958
199,-0.2377353,-0.09231547
249,-0.2376198,-0.09592369
301,-0.2375116,-0.1016851
351,-0.2378439,-0.1046009
401,-0.2368479,-0.1083486
451,-0.2366306,-0.1099785
501,-0.236045,-0.1170003
551,-0.2360457,-0.1193403
601,-0.2367636,-0.1229282
651,-0.2377185,-0.1252715
701,-0.2384713,-0.1293231
751,-0.238889,-0.1346083
801,-0.2393899,-0.1369042
851,-0.2403866,-0.1395453
901,-0.2417135,-0.140624
951,-0.2429613,-0.1401414
1001,-0.2439664,-0.1400107
1051,-0.2460743,-0.1407519
1101,-0.2496345,-0.1410663
1151,-0.2374731,-0.1411079
1201,-0.1397263,-0.1408758
1251,-0.08491687,-0.1403919
1303,0.03144037,-0.1399809
1352,0.05385691,-0.1399901
1402,0.06895676,-0.1392274
1452,0.08640382,-0.1368375
1502,0.09918908,-0.129831
1552,0.106292,-0.1255362
1602,0.1056806,-0.1208482
1652,0.1055656,-0.1142205
1702,0.1041774,-0.1094892
1752,0.1054605,-0.1047759
1802,0.1043775,-0.09214541
1852,0.1062159,-0.08768979
1902,0.1085815,-0.08383055
1952,0.1109787,-0.07987855
2002,0.1172861,-0.06176494
2052,0.1184287,-0.05548557
2103,0.1219902,-0.04384927
2154,0.1251049,-0.0365319
2204,0.1267953,-0.03163735
2254,0.129782,-0.02963652
2304,0.1296915,-0.03051814
2354,0.125292,-0.03064468
2404,0.1113996,-0.03050265
2454,0.04301728,-0.03071165
2554,-0.1495428,-0.03066455
2604,-0.2395898,-0.03001488
2804,-0.2313662,-0.05319565
2854,-0.2261505,-0.0592934
2904,-0.2244119,-0.06907318
2954,-0.2234083,-0.07361209
3004,-0.2224034,-0.08365867
3054,-0.2226027,-0.09239958
3104,-0.2217725,-0.09849767
3154,-0.2211848,-0.1053889
3204,-0.2204335,-0.11112
3254,-0.2198787,-0.1214064
3304,-0.2202678,-0.1289656
3354,-0.2208497,-0.1333581
3404,-0.2212299,-0.1409636
3454,-0.2208449,-0.1470606
3504,-0.2206511,-0.1505885
3554,-0.2210611,-0.1488235
3604,-0.2199682,-0.1475883
3654,-0.2178864,-0.1485299
3704,-0.1634723,-0.1497087
3754,-0.04551842,-0.1470976
3804,0.006858752,-0.1471026
3854,0.04368851,-0.1474202
3904,0.04647429,-0.1458182
3954,0.05402292,-0.141438
4004,0.05749129,-0.1327857
4054,0.06021035,-0.1290069
4104,0.06498679,-0.1245642
4154,0.06557186,-0.1228443
4204,0.06669049,-0.1147111
4254,0.06848305,-0.1072978
4304,0.07006785,-0.09837612
4354,0.07202482,-0.09439759
4404,0.0735397,-0.08817978
4454,0.07591254,-0.08295235
4504,0.08126488,-0.06634803
4554,0.08625435,-0.05307713
4604,0.08941828,-0.0457882
4655,0.09352744,-0.03898153
4704,0.09835865,-0.03105764
4756,0.09992773,-0.029643
4806,0.09902724,-0.03114707
4856,0.09034126,-0.03072571
4906,0.06884325,-0.03070233
5006,-0.160291,-0.03092621
5056,-0.2048026,-0.03106835
5106,-0.2180111,-0.0354743
5156,-0.2300759,-0.04557402
5206,-0.2348353,-0.05098279
5256,-0.2336879,-0.05357511
5307,-0.2297527,-0.06174527
5356,-0.2271524,-0.06637318
5406,-0.2275702,-0.07668293
5456,-0.2273688,-0.08159435
5507,-0.2266641,-0.0947368
5556,-0.2272811,-0.09818339
5606,-0.229036,-0.1066281
5656,-0.2300683,-0.1142222
5707,-0.2316312,-0.1211035
5756,-0.2334995,-0.1276819
5806,-0.2352034,-0.1363252
5856,-0.2363077,-0.1400306
5906,-0.2383825,-0.1483167
5957,-0.2385683,-0.1508461
6006,-0.2385854,-0.148516
6056,-0.2371554,-0.1476242
6106,-0.2373536,-0.1484789
6156,-0.1773442,-0.1497756
6206,-0.02177014,-0.1491084
6256,0.07876354,-0.1490457
6306,0.07504499,-0.1492654
6356,0.06470449,-0.1491502
6406,0.06550339,-0.1435346
6457,0.07100099,-0.1356003
6506,0.07060476,-0.1324421
6556,0.07286419,-0.1269702
6606,0.07388522,-0.1242778
6656,0.0760045,-0.1150683
6706,0.0773948,-0.1061384
6757,0.08014962,-0.1012243
6806,0.08229976,-0.09201195
6856,0.0845653,-0.08814113
6906,0.08848232,-0.0762125
6956,0.09014904,-0.06501988
7006,0.09001867,-0.05777903
7056,0.09345385,-0.04430663
7106,0.09595241,-0.03455232
7156,0.09749786,-0.03035194
7206,0.09911092,-0.03037362
7256,0.09938991,-0.03095721
7306,0.09761581,-0.03087958
7357,0.06326385,-0.02975991
7457,-0.1147386,-0.0308682
7507,-0.2389271,-0.02982695
7557,-0.2095918,-0.0309336
7607,-0.2257912,-0.03240385
7657,-0.2205192,-0.04192792
7707,-0.2327722,-0.05125015
7757,-0.2307584,-0.05438111
7807,-0.2308896,-0.06078106
7857,-0.2276915,-0.07024561
7907,-0.2303066,-0.07878921
7957,-0.2284963,-0.08434125
8007,-0.2299087,-0.09526001
8057,-0.229768,-0.1059127
8107,-0.2292215,-0.1113641
8157,-0.2308462,-0.1168709
8207,-0.2304113,-0.119518
8257,-0.2306908,-0.1316702
8307,-0.230267,-0.1360479
8357,-0.2300593,-0.1452981
8407,-0.2292121,-0.1488046
8457,-0.2295022,-0.148842
8507,-0.2305729,-0.1477519
8557,-0.2319658,-0.148415
8607,-0.2318844,-0.1490071
8707,0.002282323,-0.1490383
8757,0.0372423,-0.1492078
8807,0.04990602,-0.1491862
8857,0.05991396,-0.1481947
8907,0.06463509,-0.1441431
8957,0.06702734,-0.1411147
9007,0.07079303,-0.132333
9058,0.07286556,-0.1285609
9107,0.07564558,-0.1246377
9157,0.0786537,-0.1188219
9208,0.08277357,-0.1119512
9258,0.0851708,-0.1047539
9309,0.08645581,-0.09444407
9358,0.08757659,-0.0891568
9408,0.08768775,-0.08088321
9458,0.08921836,-0.07472373
9508,0.08942725,-0.0597613
9558,0.0917318,-0.04769384
9608,0.09315248,-0.03712851
9658,0.09424312,-0.03459237
9708,0.09491053,-0.03010189
9758,0.09717998,-0.03178036
9808,0.09721059,-0.03173751
9859,0.09843305,-0.03092967
9908,0.1010033,-0.0307169
9958,0.100201,-0.03196451
10008,0.0956401,-0.03041324
10059,0.07001764,-0.03046866
10109,-0.1319164,-0.03123413
10159,-0.1866518,-0.0309557
10210,-0.2029507,-0.03099049
10259,-0.1933313,-0.03251863
10310,-0.2142953,-0.04015647
10360,-0.2075002,-0.04296735
10410,-0.2161697,-0.05234559
10460,-0.2106955,-0.06137225
10510,-0.2159787,-0.06534132
10559,-0.2148923,-0.07576771
10609,-0.2162618,-0.08884765
10660,-0.2147341,-0.09423824
10710,-0.2180922,-0.1038461
10760,-0.2219779,-0.1102005
10809,-0.2230894,-0.1145027
10860,-0.22349,-0.1229904
10910,-0.2246335,-0.1294553
10960,-0.2245791,-0.1377701
11010,-0.2259371,-0.1435055
11059,-0.2265802,-0.148353
11110,-0.2265007,-0.1493698
11160,-0.2245248,-0.1485265
